,summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria
104,"(60,60,60,0.8,0.8,W-L,wins)",60,60,60,0.8,0.8,W-L,wins,48.421052631578945,26.027397260273972,48.78048780487805,22.465753424657535,46.15384615384615,3.5616438356164384,-1315.0684931506842
24,"(7,7,7,1.6,1.6,T/L,wins)",7,7,7,1.6,1.6,T/L,wins,33.333333333333336,1.643835616438356,33.333333333333336,1.643835616438356,,0.0,-1315.0684931506848
21,"(7,7,7,1.6,1.6,W/L,wins)",7,7,7,1.6,1.6,W/L,wins,33.333333333333336,1.643835616438356,33.333333333333336,1.643835616438356,,0.0,-1315.0684931506848
85,"(30,30,30,1.6,1.6,T/L,earnings)",30,30,30,1.6,1.6,T/L,earnings,38.46153846153846,3.5616438356164384,41.666666666666664,3.287671232876712,0.0,0.273972602739726,-1315.068493150685
80,"(30,30,30,1.6,1.6,W/L,earnings)",30,30,30,1.6,1.6,W/L,earnings,38.46153846153846,3.5616438356164384,41.666666666666664,3.287671232876712,0.0,0.273972602739726,-1315.068493150685
91,"(30,30,30,1.2,1.2,T/L,wins)",30,30,30,1.2,1.2,T/L,wins,45.0,10.95890410958904,47.22222222222222,9.863013698630137,25.0,1.095890410958904,-1315.0684931506853
72,"(30,30,30,1.2,1.2,W/L,wins)",30,30,30,1.2,1.2,W/L,wins,45.0,10.95890410958904,47.22222222222222,9.863013698630137,25.0,1.095890410958904,-1315.0684931506853
52,"(15,15,15,1.6,1.6,W-L,earnings)",15,15,15,1.6,1.6,W-L,earnings,49.152542372881356,16.164383561643834,48.275862068965516,15.89041095890411,100.0,0.273972602739726,-1315.068493150686
92,"(30,30,30,1.6,1.6,T/L,wins)",30,30,30,1.6,1.6,T/L,wins,38.095238095238095,5.7534246575342465,42.10526315789474,5.205479452054795,0.0,0.547945205479452,-1972.6027397260268
89,"(30,30,30,1.6,1.6,W/L,wins)",30,30,30,1.6,1.6,W/L,wins,38.095238095238095,5.7534246575342465,42.10526315789474,5.205479452054795,0.0,0.547945205479452,-1972.6027397260268
